Season,PlayerID,PlayerName,TeamName,TeamID,Info,Debut,ImageURL,FullName,PlayingRole,BattingStyle,BowlingStyle,DateOfBirth
2024,53308,Md Hosen Arman,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Md Hosen Arman,WK-Batter,,,
2024,19395,Dave Smith,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Dave Smith,WK-Batter,,,
2024,53309,Qadeer Ahmad,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Qadeer Ahmad,Batter,,,
2024,53310,Sumon Miah,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Sumon Miah,Batter,,,
2024,50730,Rajvir Singh,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Rajvir Singh,Batter,,,
2024,20978,Amninder Singh,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Amninder Singh,Bowler,,,
2024,53072,Shubhpreet Shubhpreet,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Shubhpreet Shubhpreet,Batter,,,
2024,53311,Richard John,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Richard John,Batter,,,
2024,53312,Rayhan Hawladar,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Rayhan Hawladar,Batter,,,
2024,53585,Waseem Khan,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Waseem Khan,batter,,,
2024,53073,Anil Kumar,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Anil Kumar,Batter,,,
2024,53313,Mohammed AlaUddin RImon,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Mohammed AlaUddin RImon,Batter,,,
2024,53314,Paul Stubbs,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Paul Stubbs,Batter,,,
2024,53315,Tanvir Shanto,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Tanvir Shanto,Batter,,,
2024,53590,Sajid Shaik,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Sajid Shaik,Batter,,,
2024,53617,Bodh Raj,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Bodh Raj,Batter,,,
2024,53101,Waseem Ahmad,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Waseem Ahmad,Batter,Right Hand Bat,Left Arm Fast,
2024,53316,Azhar Azim,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Azhar Azim,Batter,,,
2024,37342,Ravinder Singh,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Ravinder Singh,Batting All-Rounder,,,
2024,53586,Faruk Mustafiz,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Faruk Mustafiz,Batting All-Rounder,,,
2024,53587,Abdullah Khan,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Abdullah Khan,bowler,,,
2024,53317,Sofiqul Islam,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Sofiqul Islam,Batting All-Rounder,,,
2024,50729,Bachiter Singh,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Bachiter Singh,Batting All-Rounder,,,
2024,53318,Md Imran Hasan,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Md Imran Hasan,Batting All-Rounder,,,
2024,53588,Malcolm Dmello,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Malcolm Dmello,Batting All-Rounder,,,
2024,53618,Dave Sipson,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Dave Sipson,Batting All-Rounder,,,
2024,53319,Abdullah Al Rupom,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Abdullah Al Rupom,Bowler,,,
2024,22288,Jawad Ali,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Jawad Ali,Bowler,,,
2024,50733,Gurjinder Singh,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Gurjinder Singh,Bowler,,,
2024,53320,Rayhan Khan,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Rayhan Khan,Bowler,,,
2024,53321,Md Shujon,Coimbra Knights,1977,null,2024,https://media.sportstiger.com/default/cricket_player.png,Md Shujon,Bowler,,,
